page_title	query_id	query_text
Chocolate	query_0	Chocolate / Etymology
Chocolate	query_1	Chocolate / History
Chocolate	query_2	Chocolate / History / Mesoamerican usage
Chocolate	query_3	Chocolate / History / European adaptation
Chocolate	query_4	Chocolate / History / Storage
Chocolate	query_5	Chocolate / Nutrition and research
Chocolate	query_6	Chocolate / Nutrition and research / Nutrition
Chocolate	query_7	Chocolate / Nutrition and research / Research
Chocolate	query_8	Chocolate / Labeling
Chocolate	query_9	Chocolate / Industry
Chocolate	query_10	Chocolate / Industry / Manufacturers
Chocolate	query_11	Chocolate / Industry / Human trafficking of child labourers
Chocolate	query_12	Chocolate / Industry / Fair trade
Chocolate	query_13	Chocolate / Usage and consumption
Chocolate	query_14	Chocolate / Popular culture
Chocolate	query_15	Chocolate / Popular culture / Religious and cultural links
Chocolate	query_16	Chocolate / Popular culture / Books and film
Heavy water	query_17	Heavy water / Explanation
Heavy water	query_18	Heavy water / Other heavy forms of water
Heavy water	query_19	Heavy water / Other heavy forms of water / Semiheavy water
Heavy water	query_20	Heavy water / Other heavy forms of water / Heavy-oxygen water
Heavy water	query_21	Heavy water / Other heavy forms of water / Tritiated water
Heavy water	query_22	Heavy water / Physical properties
Heavy water	query_23	Heavy water / History
Heavy water	query_24	Heavy water / Effect on biological systems
Heavy water	query_25	Heavy water / Effect on biological systems / Effect on animals
Heavy water	query_26	Heavy water / Effect on biological systems / Toxicity in humans
Heavy water	query_27	Heavy water / Effect on biological systems / Heavy water radiation contamination confusion
Heavy water	query_28	Heavy water / Production
Heavy water	query_29	Heavy water / Production / Argentina
Heavy water	query_30	Heavy water / Production / Soviet Union
Heavy water	query_31	Heavy water / Production / United States
Heavy water	query_32	Heavy water / Production / India
Heavy water	query_33	Heavy water / Production / Empire of Japan
Heavy water	query_34	Heavy water / Production / Norway
Heavy water	query_35	Heavy water / Production / Canada
Heavy water	query_36	Heavy water / Production / Iran
Heavy water	query_37	Heavy water / Production / Pakistan
Heavy water	query_38	Heavy water / Production / Other countries
Heavy water	query_39	Heavy water / Applications
Heavy water	query_40	Heavy water / Applications / Nuclear magnetic resonance
Heavy water	query_41	Heavy water / Applications / Organic chemistry
Heavy water	query_42	Heavy water / Applications / Fourier transform spectroscopy
Heavy water	query_43	Heavy water / Applications / Neutron moderator
Heavy water	query_44	Heavy water / Applications / Neutrino detector
Heavy water	query_45	Heavy water / Applications / Metabolic rate testing in physiology/biology
Heavy water	query_46	Heavy water / Applications / Tritium production
Sugar	query_47	Sugar / Etymology
Sugar	query_48	Sugar / History
Sugar	query_49	Sugar / History / Ancient times and Middle Ages
Sugar	query_50	Sugar / History / Modern history
Sugar	query_51	Sugar / Chemistry
Sugar	query_52	Sugar / Chemistry / Natural polymers of sugars
Sugar	query_53	Sugar / Chemistry / Flammability
Sugar	query_54	Sugar / Types of sugar
Sugar	query_55	Sugar / Types of sugar / Monosaccharides
Sugar	query_56	Sugar / Types of sugar / Disaccharides
Sugar	query_57	Sugar / Production
Sugar	query_58	Sugar / Production / Sugar beet
Sugar	query_59	Sugar / Production / Sugarcane
Sugar	query_60	Sugar / Production / Refining
Sugar	query_61	Sugar / Production / Producing countries
Sugar	query_62	Sugar / Forms and uses
Sugar	query_63	Sugar / Consumption
Sugar	query_64	Sugar / Health effects
Sugar	query_65	Sugar / Health effects / Addiction
Sugar	query_66	Sugar / Health effects / Alzheimer's disease
Sugar	query_67	Sugar / Health effects / Blood glucose levels
Sugar	query_68	Sugar / Health effects / Cardiovascular disease
Sugar	query_69	Sugar / Health effects / Hyperactivity
Sugar	query_70	Sugar / Health effects / Obesity and diabetes
Sugar	query_71	Sugar / Health effects / Tooth decay
Sugar	query_72	Sugar / Recommended dietary intake
Sugar	query_73	Sugar / Measurements
Thermal runaway	query_74	Thermal runaway / Chemical engineering
Thermal runaway	query_75	Thermal runaway / Microwave heating
Thermal runaway	query_76	Thermal runaway / Electrical engineering
Thermal runaway	query_77	Thermal runaway / Electrical engineering / Semiconductors
Thermal runaway	query_78	Thermal runaway / Electrical engineering / Bipolar junction transistors (BJTs)
Thermal runaway	query_79	Thermal runaway / Electrical engineering / Power MOSFETs
Thermal runaway	query_80	Thermal runaway / Electrical engineering / Metal oxide varistors (MOVs)
Thermal runaway	query_81	Thermal runaway / Electrical engineering / Tantalum capacitors
Thermal runaway	query_82	Thermal runaway / Electrical engineering / Digital logic
Thermal runaway	query_83	Thermal runaway / Electrical engineering / Batteries
Thermal runaway	query_84	Thermal runaway / Astrophysics
Thermal runaway	query_85	Thermal runaway / Astrophysics / Helium flashes in red giant stars
